sample	STARGenomeName	R1	R2	Strandedness	old.sample.name	Experiment	cell.type	libType	Treatment	dose.nM	rep	color	ExperimentAlias
2_LCL_polyA_Risdiplam_3.16_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_8_L002_ds.7ac0a81bef5640de88a4794d795ae7bc/Ris-8_S16_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_8_L002_ds.7ac0a81bef5640de88a4794d795ae7bc/Ris-8_S16_L002_R2_001.fastq.gz	RF	TitrationExpRis-8	2	LCL	polyA	Risdiplam	3.16	1	#F7FBFF	Dose response titration
2_LCL_polyA_Risdiplam_10_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_7_L001_ds.3f61942babcc43ee9478217810cf713b/Ris-7_S15_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_7_L001_ds.3f61942babcc43ee9478217810cf713b/Ris-7_S15_L001_R2_001.fastq.gz	RF	TitrationExpRis-7	2	LCL	polyA	Risdiplam	10	1	#DEEBF7	Dose response titration
2_LCL_polyA_Risdiplam_10_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_7_L002_ds.8aa9fe833471467aba00cd963aa92338/Ris-7_S15_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_7_L002_ds.8aa9fe833471467aba00cd963aa92338/Ris-7_S15_L002_R2_001.fastq.gz	RF	TitrationExpRis-7	2	LCL	polyA	Risdiplam	10	1	#DEEBF7	Dose response titration
2_LCL_polyA_Risdiplam_31.6_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_6_L001_ds.e668383dec1a499f80b271e33c08bd93/Ris-6_S14_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_6_L001_ds.e668383dec1a499f80b271e33c08bd93/Ris-6_S14_L001_R2_001.fastq.gz	RF	TitrationExpRis-6	2	LCL	polyA	Risdiplam	31.6	1	#C6DBEF	Dose response titration
2_LCL_polyA_Risdiplam_31.6_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_6_L002_ds.4f6b6f5ac9a7464da11e3254672e2d56/Ris-6_S14_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_6_L002_ds.4f6b6f5ac9a7464da11e3254672e2d56/Ris-6_S14_L002_R2_001.fastq.gz	RF	TitrationExpRis-6	2	LCL	polyA	Risdiplam	31.6	1	#C6DBEF	Dose response titration
2_LCL_polyA_Risdiplam_100_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_5_L001_ds.10a0756220f54846aad077f46dc850e3/Ris-5_S13_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_5_L001_ds.10a0756220f54846aad077f46dc850e3/Ris-5_S13_L001_R2_001.fastq.gz	RF	TitrationExpRis-5	2	LCL	polyA	Risdiplam	100	1	#9ECAE1	Dose response titration
2_LCL_polyA_Risdiplam_100_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_5_L002_ds.f1cd9d3ee9da443492f7b0c2371ff759/Ris-5_S13_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_5_L002_ds.f1cd9d3ee9da443492f7b0c2371ff759/Ris-5_S13_L002_R2_001.fastq.gz	RF	TitrationExpRis-5	2	LCL	polyA	Risdiplam	100	1	#9ECAE1	Dose response titration
2_LCL_polyA_Risdiplam_316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_4_L001_ds.710efaa8aaba44fbbbfb550e681587c8/Ris-4_S12_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_4_L001_ds.710efaa8aaba44fbbbfb550e681587c8/Ris-4_S12_L001_R2_001.fastq.gz	RF	TitrationExpRis-4	2	LCL	polyA	Risdiplam	316	1	#6BAED6	Dose response titration
2_LCL_polyA_Risdiplam_316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_4_L002_ds.76d12ad0b2c048ec91d79c6e0b1d58cf/Ris-4_S12_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_4_L002_ds.76d12ad0b2c048ec91d79c6e0b1d58cf/Ris-4_S12_L002_R2_001.fastq.gz	RF	TitrationExpRis-4	2	LCL	polyA	Risdiplam	316	1	#6BAED6	Dose response titration
2_LCL_polyA_Risdiplam_1000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_3_L001_ds.a63d9a8d91304b99b86942af8e35b8cb/Ris-3_S11_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_3_L001_ds.a63d9a8d91304b99b86942af8e35b8cb/Ris-3_S11_L001_R2_001.fastq.gz	RF	TitrationExpRis-3	2	LCL	polyA	Risdiplam	1000	1	#4292C6	Dose response titration
2_LCL_polyA_Risdiplam_1000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_3_L002_ds.73ea444df0ac403e855887a711e6a1bb/Ris-3_S11_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_3_L002_ds.73ea444df0ac403e855887a711e6a1bb/Ris-3_S11_L002_R2_001.fastq.gz	RF	TitrationExpRis-3	2	LCL	polyA	Risdiplam	1000	1	#4292C6	Dose response titration
2_LCL_polyA_Risdiplam_3160_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_2_L001_ds.e642326e3bd14366a3d94f9192fd1bc7/Ris-2_S10_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_2_L001_ds.e642326e3bd14366a3d94f9192fd1bc7/Ris-2_S10_L001_R2_001.fastq.gz	RF	TitrationExpRis-2	2	LCL	polyA	Risdiplam	3160	1	#2171B5	Dose response titration
2_LCL_polyA_Risdiplam_3160_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_2_L002_ds.61c31b0de252449fb21e936df0ab2ae1/Ris-2_S10_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_2_L002_ds.61c31b0de252449fb21e936df0ab2ae1/Ris-2_S10_L002_R2_001.fastq.gz	RF	TitrationExpRis-2	2	LCL	polyA	Risdiplam	3160	1	#2171B5	Dose response titration
2_LCL_polyA_Risdiplam_10000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_1_L001_ds.69d5264d48f949bb82b731ba3f81537e/Ris-1_S9_L001_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_1_L001_ds.69d5264d48f949bb82b731ba3f81537e/Ris-1_S9_L001_R2_001.fastq.gz	RF	TitrationExpRis-1	2	LCL	polyA	Risdiplam	10000	1	#084594	Dose response titration
2_LCL_polyA_Risdiplam_10000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_1_L002_ds.34e39cc1358d44878fdf882dfd156b7e/Ris-1_S9_L002_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220621_Jingxin_SM_Titrations/Sample_Ris_1_L002_ds.34e39cc1358d44878fdf882dfd156b7e/Ris-1_S9_L002_R2_001.fastq.gz	RF	TitrationExpRis-1	2	LCL	polyA	Risdiplam	10000	1	#084594	Dose response titration
3_LCL_chRNA_Branaplam_31.6_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-19_S19_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-19_S19_R2_001.fastq.gz	RF	chRNA_19	3	LCL	chRNA	Branaplam	31.6	1	#A1D99B	nascent RNA profiling
3_LCL_chRNA_Branaplam_31.6_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-20_S20_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-20_S20_R2_001.fastq.gz	RF	chRNA_20	3	LCL	chRNA	Branaplam	31.6	2	#A1D99B	nascent RNA profiling
3_LCL_chRNA_Branaplam_31.6_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-21_S21_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-21_S21_R2_001.fastq.gz	RF	chRNA_21	3	LCL	chRNA	Branaplam	31.6	3	#A1D99B	nascent RNA profiling
3_LCL_chRNA_Branaplam_1000_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-16_S16_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-16_S16_R2_001.fastq.gz	RF	chRNA_16	3	LCL	chRNA	Branaplam	1000	1	#238B45	nascent RNA profiling
3_LCL_chRNA_Branaplam_1000_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-17_S17_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-17_S17_R2_001.fastq.gz	RF	chRNA_17	3	LCL	chRNA	Branaplam	1000	2	#238B45	nascent RNA profiling
3_LCL_chRNA_Branaplam_1000_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-18_S18_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-18_S18_R2_001.fastq.gz	RF	chRNA_18	3	LCL	chRNA	Branaplam	1000	3	#238B45	nascent RNA profiling
3_LCL_chRNA_C2C5_10_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-07_S7_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-07_S7_R2_001.fastq.gz	RF	chRNA_7	3	LCL	chRNA	C2C5	10	1	#BCBDDC	nascent RNA profiling
3_LCL_chRNA_C2C5_10_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-08_S8_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-08_S8_R2_001.fastq.gz	RF	chRNA_8	3	LCL	chRNA	C2C5	10	2	#BCBDDC	nascent RNA profiling
3_LCL_chRNA_C2C5_10_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-09_S9_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-09_S9_R2_001.fastq.gz	RF	chRNA_9	3	LCL	chRNA	C2C5	10	3	#BCBDDC	nascent RNA profiling
3_LCL_chRNA_C2C5_316_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-04_S4_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-04_S4_R2_001.fastq.gz	RF	chRNA_4	3	LCL	chRNA	C2C5	316	1	#6A51A3	nascent RNA profiling
3_LCL_chRNA_C2C5_316_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-05_S5_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-05_S5_R2_001.fastq.gz	RF	chRNA_5	3	LCL	chRNA	C2C5	316	2	#6A51A3	nascent RNA profiling
3_LCL_chRNA_C2C5_316_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-06_S6_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-06_S6_R2_001.fastq.gz	RF	chRNA_6	3	LCL	chRNA	C2C5	316	3	#6A51A3	nascent RNA profiling
3_LCL_chRNA_DMSO_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-01_S1_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-01_S1_R2_001.fastq.gz	RF	chRNA_1	3	LCL	chRNA	DMSO	NA	1	#969696	nascent RNA profiling
3_LCL_chRNA_DMSO_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-02_S2_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-02_S2_R2_001.fastq.gz	RF	chRNA_2	3	LCL	chRNA	DMSO	NA	2	#969696	nascent RNA profiling
3_LCL_chRNA_DMSO_NA_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-03_S3_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-03_S3_R2_001.fastq.gz	RF	chRNA_3	3	LCL	chRNA	DMSO	NA	3	#969696	nascent RNA profiling
3_LCL_chRNA_Risdiplam_100_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-13_S13_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-13_S13_R2_001.fastq.gz	RF	chRNA_13	3	LCL	chRNA	Risdiplam	100	1	#9ECAE1	nascent RNA profiling
3_LCL_chRNA_Risdiplam_100_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-14_S14_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-14_S14_R2_001.fastq.gz	RF	chRNA_14	3	LCL	chRNA	Risdiplam	100	2	#9ECAE1	nascent RNA profiling
3_LCL_chRNA_Risdiplam_100_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-15_S15_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-15_S15_R2_001.fastq.gz	RF	chRNA_15	3	LCL	chRNA	Risdiplam	100	3	#9ECAE1	nascent RNA profiling
3_LCL_chRNA_Risdiplam_3160_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-10_S10_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-10_S10_R2_001.fastq.gz	RF	chRNA_10	3	LCL	chRNA	Risdiplam	3160	1	#2171B5	nascent RNA profiling
3_LCL_chRNA_Risdiplam_3160_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-11_S11_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-11_S11_R2_001.fastq.gz	RF	chRNA_11	3	LCL	chRNA	Risdiplam	3160	2	#2171B5	nascent RNA profiling
3_LCL_chRNA_Risdiplam_3160_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-12_S12_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220815_NovaSeqS2_chRNA_seq_SmallMolecule/YLi-BF-GM-12_S12_R2_001.fastq.gz	RF	chRNA_12	3	LCL	chRNA	Risdiplam	3160	3	#2171B5	nascent RNA profiling
4_LCL_polyA_DMSO_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D7_S51_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D7_S51_R2_001.fastq.gz	RF	NewMolecule.E05-1	4	LCL	polyA	DMSO	NA	1	#969696	Single high dose LCL
4_LCL_polyA_DMSO_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C7_S50_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C7_S50_R2_001.fastq.gz	RF	NewMolecule.E06-2	4	LCL	polyA	DMSO	NA	2	#969696	Single high dose LCL
4_LCL_polyA_DMSO_NA_3	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B7_S49_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B7_S49_R2_001.fastq.gz	RF	NewMolecule.E07-3	4	LCL	polyA	DMSO	NA	3	#969696	Single high dose LCL
4_LCL_polyA_DMSO_NA_4	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D7_S106_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D7_S106_R2_001.fastq.gz	RF	NewMolecule.E05-4	4	LCL	polyA	DMSO	NA	4	#969696	Single high dose LCL
4_LCL_polyA_DMSO_NA_5	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C7_S105_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C7_S105_R2_001.fastq.gz	RF	NewMolecule.E06-5	4	LCL	polyA	DMSO	NA	5	#969696	Single high dose LCL
4_LCL_polyA_DMSO_NA_6	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B7_S104_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B7_S104_R2_001.fastq.gz	RF	NewMolecule.E07-6	4	LCL	polyA	DMSO	NA	6	#969696	Single high dose LCL
4_LCL_polyA_WA01_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H1_S8_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H1_S8_R2_001.fastq.gz	RF	NewMolecule.A01-1	4	LCL	polyA	WA01	NA	1	#252525	Single high dose LCL
4_LCL_polyA_WA01_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-H1_S63_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-H1_S63_R2_001.fastq.gz	RF	NewMolecule.A01-2	4	LCL	polyA	WA01	NA	2	#252525	Single high dose LCL
4_LCL_polyA_WA02_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G1_S7_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G1_S7_R2_001.fastq.gz	RF	NewMolecule.A02-1	4	LCL	polyA	WA02	NA	1	#252525	Single high dose LCL
4_LCL_polyA_WA02_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-G1_S62_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-G1_S62_R2_001.fastq.gz	RF	NewMolecule.A02-2	4	LCL	polyA	WA02	NA	2	#252525	Single high dose LCL
4_LCL_polyA_WA03_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F1_S6_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F1_S6_R2_001.fastq.gz	RF	NewMolecule.A03-1	4	LCL	polyA	WA03	NA	1	#252525	Single high dose LCL
4_LCL_polyA_WA03_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-F1_S61_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-F1_S61_R2_001.fastq.gz	RF	NewMolecule.A03-2	4	LCL	polyA	WA03	NA	2	#252525	Single high dose LCL
4_LCL_polyA_WA04_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E1_S5_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E1_S5_R2_001.fastq.gz	RF	NewMolecule.A04-1	4	LCL	polyA	WA04	NA	1	#252525	Single high dose LCL
4_LCL_polyA_WA04_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E1_S60_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E1_S60_R2_001.fastq.gz	RF	NewMolecule.A04-2	4	LCL	polyA	WA04	NA	2	#252525	Single high dose LCL
4_LCL_polyA_WA05_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D1_S4_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D1_S4_R2_001.fastq.gz	RF	NewMolecule.A05-1	4	LCL	polyA	WA05	NA	1	#252525	Single high dose LCL
4_LCL_polyA_WA05_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D1_S59_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D1_S59_R2_001.fastq.gz	RF	NewMolecule.A05-2	4	LCL	polyA	WA05	NA	2	#252525	Single high dose LCL
4_LCL_polyA_WA06_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C1_S3_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C1_S3_R2_001.fastq.gz	RF	NewMolecule.A06-1	4	LCL	polyA	WA06	NA	1	#252525	Single high dose LCL
4_LCL_polyA_WA06_NA_2	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C1_S58_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C1_S58_R2_001.fastq.gz	RF	NewMolecule.A06-2	4	LCL	polyA	WA06	NA	2	#252525	Single high dose LCL
4_LCL_polyA_WA07_NA_1	GRCh38_GencodeRelease44Comprehensive	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B1_S2_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B1_S2_R2_001.fastq.gz	RF	NewMolecule.A07-1	4	LCL	polyA	WA07	NA	1	#252525	Single high dose LCL
